title,company,location,url,job_description,scraped_at,posted_on
Splunk Data Analytics SME,Largeton Group,"Montgomery County, MD",https://www.linkedin.com/jobs/view/4252033797/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=Jn8E5Eyr9yOfvP77TplQzA%3D%3D&trackingId=c8tRbY%2BAaZHZMSbaC36wbQ%3D%3D&trk=flagship3_search_srp_jobs,"Splunk Data Analytics SME in Woodlawn, MD. Expert in Splunk analytics, data modeling, and cybersecurity. Bachelor's degree + 8 years or equivalent experience required.",2025-06-19 14:39,2025-06-17 09:09 UTC
Analyst Data Analytics - US Based Remote,Lensa,"Louisville, KY",https://www.linkedin.com/jobs/view/4250787483/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=Jn8E5Eyr9yOfvP77TplQzA%3D%3D&trackingId=mjRMOMePLnrqC0AxZHv5og%3D%3D&trk=flagship3_search_srp_jobs,"Anywhere Real Estate is seeking a Data Analyst / Data Developer to maintain BI platform, create reports, and automate data pipelines. Requires Bachelor's degree, SQL, Python, and data governance knowledge.",2025-06-19 14:39,2025-06-19 01:09 UTC
Data Scientist (Python Programmer/Mining Efficiency & Automation),LevelUP HCS,"Texas, United States",https://www.linkedin.com/jobs/view/4251182028/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=Jn8E5Eyr9yOfvP77TplQzA%3D%3D&trackingId=RiCsevepJytZSlUYTsDuMA%3D%3D&trk=flagship3_search_srp_jobs,"Seeking a U.S. Citizen or Green Card Holder Data Scientist Python Programmer for Industrial Data Analytics/Bitcoin Mining. Responsible for data collection, analytics, visualization, automation. Proficient in Python, Grafana, databases.",2025-06-19 14:39,2025-06-18 09:09 UTC
Data Scientist (Python Programmer/Mining Efficiency & Automation),LevelUP HCS,"Texas, United States",URL not found,"Seeking a U.S. Citizen or Green Card holder Data Scientist Python Programmer for Industrial Data Analytics/Bitcoin Mining. Responsible for data collection, analysis, modeling, visualization, automation, and feedback loops. Proficiency in Python, Grafana, and database design required.",2025-06-19 14:39,2025-06-18 09:09 UTC
Splunk Data Analytics SME,Jobs via Dice,"Baltimore, MD",https://www.linkedin.com/jobs/view/4251380670/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=Jn8E5Eyr9yOfvP77TplQzA%3D%3D&trackingId=Z%2Br2tZiM21S9L0qwqLzp3g%3D%3D&trk=flagship3_search_srp_jobs,"Create, aggregate, and transform sensor data sets, develop data pipelines, and integrate Splunk, ServiceNow, and CDM Elastic. Requires 8+ years experience, Splunk proficiency, and US Public Trust clearance.",2025-06-19 14:40,2025-06-19 07:10 UTC
Technical Lead - Data & Adobe Analytics Reporting & Insights,Infosys,"Kansas City, MO",https://www.linkedin.com/jobs/view/4249723681/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=Jn8E5Eyr9yOfvP77TplQzA%3D%3D&trackingId=9zzmWa6PzHVM9KhNejldPw%3D%3D&trk=flagship3_search_srp_jobs,"Seeking Adobe Analytics Senior Lead at Infosys to drive digital transformation, research technologies, interface with stakeholders, and apply technical proficiency. Requires 4+ years IT experience, Adobe Analytics expertise, and database management skills.",2025-06-19 14:40,2025-06-17 09:10 UTC
Technical Lead - Data & Adobe Analytics Reporting & Insights,Infosys,"Kansas City, MO",URL not found,"Seeking Adobe Analytics Senior Lead at Infosys to drive digital transformation, research technologies, recommend solutions, collaborate with stakeholders, and apply technical proficiency. Requires IT experience, Adobe Analytics expertise, database management skills.",2025-06-19 14:40,2025-06-17 09:10 UTC
User Risk Strategist - Data Analytics,Stripe,United States,https://www.linkedin.com/jobs/view/4252740129/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=Jn8E5Eyr9yOfvP77TplQzA%3D%3D&trackingId=2hmDCLimOnJYh0TcHjj06g%3D%3D&trk=flagship3_search_srp_jobs,"Join Stripe's User Risk Strategy team to drive risk strategy, analyze data, collaborate cross-functionally, and innovate solutions for risk management and user experience. Requires 5+ years experience in financial services, data analysis, and SQL proficiency. Preferred qualifications include client-facing experience and risk management knowledge. Hybrid work options available. US base salary range $138,800 - $208,",2025-06-19 14:40,2025-06-19 01:10 UTC
Consulting Partner _ Data & Analytics,Tata Consultancy Services,"Edison, NJ",https://www.linkedin.com/jobs/view/4250714151/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=Jn8E5Eyr9yOfvP77TplQzA%3D%3D&trackingId=SXH%2FaAj2v0bk6Vib6itKLw%3D%3D&trk=flagship3_search_srp_jobs,"Lead IT consultant specializing in data analytics for healthcare, utilities, energy, or resources sectors. Drive digital transformation, develop IT strategies, and optimize cloud-based solutions. Requires 15+ years of IT consulting experience.",2025-06-19 14:41,2025-06-18 20:11 UTC
Consulting Partner _ Data & Analytics,Tata Consultancy Services,"Edison, NJ",URL not found,"Lead IT consultant specializing in technology strategy and consulting for Utilities, Energy, Resources, Healthcare sectors. Drive digital transformation, develop IT strategies, and optimize data analytics solutions. 15+ years IT consulting experience required.",2025-06-19 14:41,2025-06-18 20:11 UTC
"Staff Data Analyst, Product Analytics",Harnham,Location not found,https://www.linkedin.com/jobs/view/4253165746/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=Jn8E5Eyr9yOfvP77TplQzA%3D%3D&trackingId=a5zlY2KNNYd31jg086YKHA%3D%3D&trk=flagship3_search_srp_jobs,"Job involves managing social media accounts, creating content, engaging with followers, analyzing performance data, and collaborating with marketing team. Requires strong communication and analytical skills.",2025-06-19 14:42,2025-06-19 09:11 UTC
