title,company,location,url,scraped_at
Windows AI Engineering Intern - Fall 2025,NVIDIA,"Santa Clara, CA",https://www.linkedin.com/jobs/view/4245838069/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=5uEWmJawbFZYkXQAJbT9Bw%3D%3D&trackingId=vSNpNrDKYprx0hqqn8jK%2BQ%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
Windows AI Engineering Intern - Fall 2025,NVIDIA,"Santa Clara, CA",URL not found,2025-06-12
Machine Learning Engineer with Generative AI,PETADATA,"Las Vegas, NV",https://www.linkedin.com/jobs/view/4249294030/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=5uEWmJawbFZYkXQAJbT9Bw%3D%3D&trackingId=KPDZkjrYgBgxhX%2FFnCkYrQ%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
AI Solutions Architect,Kces,"Schaumburg, IL",https://www.linkedin.com/jobs/view/4226924726/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=5uEWmJawbFZYkXQAJbT9Bw%3D%3D&trackingId=r49Vrn45cMbqSyt5EyQZuw%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
AI Solutions Architect,Kces,"Schaumburg, IL",URL not found,2025-06-12
Lawyer (Unpaid at Startup Company),OpenQQuantify,United States,https://www.linkedin.com/jobs/view/4244722597/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=5uEWmJawbFZYkXQAJbT9Bw%3D%3D&trackingId=cvwgPWMu3A7qvz%2Fbv8ydHw%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
Lawyer (Unpaid at Startup Company),OpenQQuantify,United States,URL not found,2025-06-12
Generative AI Solution Architect,YO IT Group,"Glendale, CA",https://www.linkedin.com/jobs/view/4246281406/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=5uEWmJawbFZYkXQAJbT9Bw%3D%3D&trackingId=pNOiMGno%2FpFgyoPJkHTvug%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
Freelance Software Developer (Ruby) - AI Trainer,Mindrift,"Houston, TX",https://www.linkedin.com/jobs/view/4247548318/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=5uEWmJawbFZYkXQAJbT9Bw%3D%3D&trackingId=UguFn82%2F8oe0eDKdzBLlFg%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
Advanced AI Research Data Scientist,Lensa,"Milwaukee, WI",https://www.linkedin.com/jobs/view/4249422248/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=5uEWmJawbFZYkXQAJbT9Bw%3D%3D&trackingId=TGegSXJ%2Fb0Ac7jvlPM5zgg%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
Generative AI Engineer,Vertisystem,United States,https://www.linkedin.com/jobs/view/4247547960/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=5uEWmJawbFZYkXQAJbT9Bw%3D%3D&trackingId=vEccA2jWldvh85WRsU6rHw%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
Generative AI Engineer,Vertisystem,United States,URL not found,2025-06-12
Writing Experts for AI Training - English,"e2f, inc.",United States,https://www.linkedin.com/jobs/view/4243343368/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=5uEWmJawbFZYkXQAJbT9Bw%3D%3D&trackingId=uXWMUM6dfjmaKzuPnQXnbw%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
Generative AI Architect,Ampstek,"Boston, MA",https://www.linkedin.com/jobs/view/4242698631/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=5uEWmJawbFZYkXQAJbT9Bw%3D%3D&trackingId=zPXaVE5oUpp0HzyWKBEAQg%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
Generative AI Architect,Ampstek,"Boston, MA",URL not found,2025-06-12
Generative AI Engineer,Tata Consultancy Services,"Duluth, GA",https://www.linkedin.com/jobs/view/4245368310/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=5uEWmJawbFZYkXQAJbT9Bw%3D%3D&trackingId=mjt8zsixS8f%2Fc3eez3OmRA%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
Generative AI Engineer,Tata Consultancy Services,"Duluth, GA",URL not found,2025-06-12
Gen AI Security Consultant,Jobs via Dice,United States,https://www.linkedin.com/jobs/view/4247373437/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=5uEWmJawbFZYkXQAJbT9Bw%3D%3D&trackingId=tfBx%2BDGgfZwNh5OZJWgPVA%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
AI/ML Engineer,Capgemini Engineering,"California, United States",https://www.linkedin.com/jobs/view/4242962566/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=5uEWmJawbFZYkXQAJbT9Bw%3D%3D&trackingId=RSwcTDvxUkayU8apjRi6pw%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
Senior AI/ML Researcher,Navan,"Palo Alto, CA",https://www.linkedin.com/jobs/view/4245598503/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=5uEWmJawbFZYkXQAJbT9Bw%3D%3D&trackingId=v5iaxq9MB7iN8um%2B0wZ3lw%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
Applied Machine Learning Engineer,TieTalent,"California, United States",https://www.linkedin.com/jobs/view/4246105549/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=5uEWmJawbFZYkXQAJbT9Bw%3D%3D&trackingId=PRRLPvWrw%2Flk92yIZeY7ww%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
"Engineering Manager, Generative AI Safety",Meta,"Menlo Park, CA",https://www.linkedin.com/jobs/view/4245425502/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=5uEWmJawbFZYkXQAJbT9Bw%3D%3D&trackingId=MzAZL6xqXBy%2BzQNKhjwIjA%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
Creative Technologist,Expedia Group,"West Hollywood, CA",https://www.linkedin.com/jobs/view/4247890404/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=5uEWmJawbFZYkXQAJbT9Bw%3D%3D&trackingId=tJM2DFvHj1ReNjduqRP3tQ%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
"AI Tutor, Statistics Specialist (contract), Handshake AI",Handshake,United States,https://www.linkedin.com/jobs/view/4243672502/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=5uEWmJawbFZYkXQAJbT9Bw%3D%3D&trackingId=BNITY0cP%2FJJZ6eczrULBLg%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
Editorial Prompt Engineer,LinkedIn,"New York, NY",https://www.linkedin.com/jobs/view/4249275688/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=5uEWmJawbFZYkXQAJbT9Bw%3D%3D&trackingId=CLyQY7l0CVsHt%2FmBAcsftQ%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
Applied Legal Researcher,EvenUp,"San Antonio, Texas Metropolitan Area",https://www.linkedin.com/jobs/view/4244789800/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=5uEWmJawbFZYkXQAJbT9Bw%3D%3D&trackingId=MlIgLW8hQhbpgEne1hDd0Q%3D%3D&trk=flagship3_search_srp_jobs,2025-06-12
