company,website,industry,company_size
Discord,http://www.discord.com,Software Development,"501-1,000 employees"
CoStar Group,http://www.costargroup.com,Real Estate,"5,001-10,000 employees"
Stripe,https://stripe.com,"Technology, Information and Internet","5,001-10,000 employees"
LevelUP HCS,http://www.leveluphcs.com,Human Resources Services,51-200 employees
VAST Data,https://www.vastdata.com,Software Development,"501-1,000 employees"
Harnham,http://www.harnham.com,Staffing and Recruiting,201-500 employees
MDA Edge,https://www.MDAEdge.com/,Business Consulting and Services,11-50 employees
Ascendion,https://ascendion.com/,"Technology, Information and Internet","5,001-10,000 employees"
Tata Consultancy Services,https://www.tcs.com/,IT Services and IT Consulting,"10,001+ employees"
DoorDash,https://careersatdoordash.com/,Software Development,"10,001+ employees"
Lensa,https://lensa.com,IT Services and IT Consulting,51-200 employees
Amazon Web Services (AWS),http://aws.amazon.com,IT Services and IT Consulting,"10,001+ employees"
Infosys,https://www.infosys.com,IT Services and IT Consulting,"10,001+ employees"
Largeton Group,https://www.largeton.com,Information Services,51-200 employees
TechPerm Incorporated,https://www.techperm.com,IT Services and IT Consulting,51-200 employees
Etsy,http://www.etsy.com,Software Development,"1,001-5,000 employees"
Jobs via Dice,https://www.dice.com,Software Development,0-1 employees
