title,company,scraped_at
"Data Scientist, Machine Learning",Ever.Ag,2025-06-02 11:14:31
"Data Scientist, Analytics",Discord,2025-06-02 11:14:33
"Data Scientist, Operations Research/Customer Support (ML/Algo)",Airbnb,2025-06-02 11:14:35
"Data Scientist / Senior Data Scientist, Analytics",DoorDash,2025-06-02 11:14:38
Data Scientist Intern (E-commerce Governance Algorithms) - 2025 Summer/Fall (BS/MS),TikTok,2025-06-02 11:14:40
Data Scientist - Retail Analytics,CVS Health,2025-06-02 11:14:42
Data Scientist - Integrated Operations,Southwest Airlines,2025-06-02 11:14:45
Data Scientist,McGraw Hill,2025-06-02 11:14:47
Data Scientist,Extend,2025-06-02 11:14:49
Applied Sr Data Scientist - Fintech Foundation,Hopper,2025-06-02 11:14:51
Data Scientist 1,PayPal,2025-06-02 11:14:54
Data Scientist,Garner Health,2025-06-02 11:14:56
Data Scientist - Product Analytics,Haus,2025-06-02 11:14:58
Data Scientist,Leidos,2025-06-02 11:15:00
Data Scientist,Jerry,2025-06-02 11:15:02
Associate Data Scientist,Spectrum,2025-06-02 11:15:05
Junior Data Scientist,MGT,2025-06-02 11:15:07
Data Scientist,Ford Motor Company,2025-06-02 11:15:09
Data Scientist (Machine Learning),Ascension,2025-06-02 11:15:11
Data Scientist,ScrollTab,2025-06-02 11:15:13
Data Scientist,General Dynamics Information Technology,2025-06-02 11:15:16
Sr Data Scientist,Uber,2025-06-02 11:15:18
Energy Data Scientist,DNV,2025-06-02 11:15:20
Data Scientist,Microsoft,2025-06-02 11:15:22
"Senior Data Scientist, Marketing",Dropbox,2025-06-02 11:15:25
