title,company,url,scraped_at
"Data Scientist, Machine Learning",Ever.Ag,https://www.linkedin.com/jobs/view/4222401952/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=o4h8vmroXiq7J%2B6d2pcODg%3D%3D&trackingId=xDaZDiiwOwUok1Em%2BGRnLw%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:41:28
"Data Scientist, Analytics",Discord,https://www.linkedin.com/jobs/view/4222400361/?eBP=BUDGET_EXHAUSTED_JOB&refId=o4h8vmroXiq7J%2B6d2pcODg%3D%3D&trackingId=X8xHulBMsjqRiae0wrugfQ%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:41:31
"Data Scientist, Operations Research/Customer Support (ML/Algo)",Airbnb,https://www.linkedin.com/jobs/view/4239108699/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=o4h8vmroXiq7J%2B6d2pcODg%3D%3D&trackingId=9hq5TUUUMcx9NjHgcJv8%2Fw%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:41:33
"Data Scientist / Senior Data Scientist, Analytics",DoorDash,https://www.linkedin.com/jobs/view/3987286133/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=o4h8vmroXiq7J%2B6d2pcODg%3D%3D&trackingId=ov9jjNcYgxR6wJSh5yzT9w%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:41:35
Data Scientist Intern (E-commerce Governance Algorithms) - 2025 Summer/Fall (BS/MS),TikTok,https://www.linkedin.com/jobs/view/4082173498/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=o4h8vmroXiq7J%2B6d2pcODg%3D%3D&trackingId=YH%2ByaamWkML0CybjvLKlig%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:41:37
Data Scientist - Retail Analytics,CVS Health,https://www.linkedin.com/jobs/view/4241447510/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=o4h8vmroXiq7J%2B6d2pcODg%3D%3D&trackingId=FPfdhYN%2BjlTWiRdwsk%2BeaQ%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:41:40
Data Scientist - Integrated Operations,Southwest Airlines,https://www.linkedin.com/jobs/view/4240352591/?eBP=BUDGET_EXHAUSTED_JOB&refId=o4h8vmroXiq7J%2B6d2pcODg%3D%3D&trackingId=a51t2Ny7G%2BBXPNRQHU9lMQ%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:41:42
Data Scientist,McGraw Hill,https://www.linkedin.com/jobs/view/4237252556/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=o4h8vmroXiq7J%2B6d2pcODg%3D%3D&trackingId=MY2PXrzPPBfKuKrcqADp3Q%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:41:44
Data Scientist,Extend,https://www.linkedin.com/jobs/view/4222647498/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=o4h8vmroXiq7J%2B6d2pcODg%3D%3D&trackingId=JXgzAIN9X3m0Cwj3YqVXbA%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:41:46
Applied Sr Data Scientist - Fintech Foundation,Hopper,https://www.linkedin.com/jobs/view/4225011259/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=o4h8vmroXiq7J%2B6d2pcODg%3D%3D&trackingId=GF8FtZslfix0PN37coV3%2Bg%3D%3D&trk=flagship3_search_srp_jobs,2025-06-02 15:41:49
